bin_id	seq_id	start	end	strand	feat_id	name	locus_tag	product	protein_id
B. grahamii	NC_012846.1	833326	833698	+	NC_012846.1__BGR_RS03325	rplL	BGR_RS03325	50S ribosomal protein L7/L12	WP_012755028.1
B. grahamii	NC_012846.1	833989	838138	+	NC_012846.1__BGR_RS03330	rpoB	BGR_RS03330	DNA-directed RNA polymerase subunit beta	WP_012755029.1
B. grahamii	NC_012846.1	838310	842522	+	NC_012846.1__BGR_RS03335	rpoC	BGR_RS03335	DNA-directed RNA polymerase subunit beta'	WP_012755030.1
B. grahamii	NC_012846.1	843067	843454	+	NC_012846.1__BGR_RS03340	MerR	BGR_RS03340	MerR family transcriptional regulator	WP_012755031.1
B. grahamii	NC_012846.1	843662	844352	+	NC_012846.1__BGR_RS03345	Ntr	BGR_RS03345	nitroreductase	WP_012755032.1
B. grahamii	NC_012846.1	844697	846089	+	NC_012846.1__BGR_RS03350	Sda	BGR_RS03350	L-serine ammonia-lyase	WP_012755033.1
B. henselae	NC_005956.1	706944	707373	+	NC_005956.1__AYT27_RS03140	rplK	AYT27_RS03140	50S ribosomal protein L11	WP_011180530.1
B. henselae	NC_005956.1	707377	708076	+	NC_005956.1__AYT27_RS03145	rplA	AYT27_RS03145	50S ribosomal protein L1	WP_011180531.1
B. henselae	NC_005956.1	708440	708959	+	NC_005956.1__AYT27_RS03150	rplJ	AYT27_RS03150	50S ribosomal protein L10	WP_011180532.1
B. henselae	NC_005956.1	709061	709433	+	NC_005956.1__AYT27_RS03155	rplL	AYT27_RS03155	50S ribosomal protein L7/L12	WP_011180533.1
B. henselae	NC_005956.1	709721	713873	+	NC_005956.1__AYT27_RS03160	rpoB	AYT27_RS03160	DNA-directed RNA polymerase subunit beta	WP_011180534.1
B. henselae	NC_005956.1	714048	718257	+	NC_005956.1__AYT27_RS03165	rpoC	AYT27_RS03165	DNA-directed RNA polymerase subunit beta'	WP_011180535.1
B. henselae	NC_005956.1	718856	719243	+	NC_005956.1__AYT27_RS03170	MerR	AYT27_RS03170	MerR family transcriptional regulator	WP_011180536.1
B. henselae	NC_005956.1	719466	720156	+	NC_005956.1__AYT27_RS03175	Ntr	AYT27_RS03175	nitroreductase	WP_011180537.1
B. henselae	NC_005956.1	720509	721907	+	NC_005956.1__AYT27_RS03180	Sda	AYT27_RS03180	L-serine ammonia-lyase	WP_011180538.1
B. quintana	NC_005955.1	837336	837615	+	NC_005955.1__BQ_RS03515	HP	BQ_RS03515	hypothetical protein	WP_011179452.1
B. quintana	NC_005955.1	838120	839518	-	NC_005955.1__BQ_RS03520	Sda	BQ_RS03520	L-serine ammonia-lyase	WP_011179453.1
B. quintana	NC_005955.1	839873	840563	-	NC_005955.1__BQ_RS03525	Ntr	BQ_RS03525	nitroreductase	WP_011179454.1
B. quintana	NC_005955.1	841780	845989	-	NC_005955.1__BQ_RS03530	rpoC	BQ_RS03530	DNA-directed RNA polymerase subunit beta'	WP_011179455.1
B. quintana	NC_005955.1	846167	850319	-	NC_005955.1__BQ_RS03535	rpoB	BQ_RS03535	DNA-directed RNA polymerase subunit beta	WP_011179456.1
B. quintana	NC_005955.1	850613	850985	-	NC_005955.1__BQ_RS03540	rplL	BQ_RS03540	50S ribosomal protein L7/L12	WP_011179457.1
B. quintana	NC_005955.1	851089	851608	-	NC_005955.1__BQ_RS03545	rplJ	BQ_RS03545	50S ribosomal protein L10	WP_011179458.1
B. quintana	NC_005955.1	851976	852675	-	NC_005955.1__BQ_RS03550	rplA	BQ_RS03550	50S ribosomal protein L1	WP_011179459.1
B. quintana	NC_005955.1	852679	853108	-	NC_005955.1__BQ_RS03555	rplK	BQ_RS03555	50S ribosomal protein L11	WP_011179460.1
