qseqid	sseqid	pident	length	qstart	qend	sstart	send	evalue	bitscore	qlen	slen
NC_012846.1__BGR_RS03340	NC_005956.1__AYT27_RS03170	83.465	127.0	1.0	127.0	1.0	127.0	1.33e-68	195.0	128.0	128.0
NC_012846.1__BGR_RS03345	NC_012846.1__BGR_RS03345	100.0	229.0	1.0	229.0	1.0	229.0	3.93e-177	477.0	229.0	229.0
NC_012846.1__BGR_RS03345	NC_005956.1__AYT27_RS03175	86.9	229.0	1.0	229.0	1.0	229.0	5.19e-160	434.0	229.0	229.0
NC_012846.1__BGR_RS03345	NC_005955.1__BQ_RS03525	88.106	227.0	1.0	227.0	1.0	227.0	4.66e-158	429.0	229.0	229.0
NC_012846.1__BGR_RS03345	NC_008783.1__BARBAKC583_RS02760	79.091	220.0	8.0	227.0	8.0	227.0	3.36e-140	384.0	229.0	228.0
NC_012846.1__BGR_RS03350	NC_012846.1__BGR_RS03350	100.0	463.0	1.0	463.0	1.0	463.0	0.0	911.0	463.0	463.0
NC_012846.1__BGR_RS03350	NC_005955.1__BQ_RS03520	89.247	465.0	1.0	463.0	1.0	465.0	0.0	802.0	463.0	465.0
NC_012846.1__BGR_RS03350	NC_005956.1__AYT27_RS03180	86.452	465.0	1.0	463.0	1.0	465.0	0.0	784.0	463.0	465.0
NC_012846.1__BGR_RS03350	NC_008783.1__BARBAKC583_RS07185	72.727	44.0	97.0	140.0	2.0	45.0	2.78e-21	79.0	463.0	60.0
NC_005956.1__AYT27_RS03140	NC_005956.1__AYT27_RS03140	100.0	142.0	1.0	142.0	1.0	142.0	1.52e-104	286.0	142.0	142.0
NC_005956.1__AYT27_RS03140	NC_005955.1__BQ_RS03555	97.887	142.0	1.0	142.0	1.0	142.0	2.17e-102	281.0	142.0	142.0
NC_005956.1__AYT27_RS03140	NC_012846.1__BGR_RS03310	96.479	142.0	1.0	142.0	1.0	142.0	2.42e-102	281.0	142.0	142.0
NC_005956.1__AYT27_RS03140	NC_008783.1__BARBAKC583_RS02730	93.662	142.0	1.0	142.0	1.0	142.0	1.47e-98	271.0	142.0	142.0
NC_005956.1__AYT27_RS03145	NC_005956.1__AYT27_RS03145	100.0	232.0	1.0	232.0	1.0	232.0	4.25e-170	460.0	232.0	232.0
NC_005956.1__AYT27_RS03145	NC_005955.1__BQ_RS03550	93.966	232.0	1.0	232.0	1.0	232.0	2.81e-160	435.0	232.0	232.0
NC_005956.1__AYT27_RS03145	NC_012846.1__BGR_RS03315	94.828	232.0	1.0	232.0	1.0	232.0	9.46e-156	424.0	232.0	234.0
NC_005956.1__AYT27_RS03145	NC_008783.1__BARBAKC583_RS02735	85.345	232.0	1.0	232.0	1.0	232.0	6.56e-143	391.0	232.0	232.0
NC_005956.1__AYT27_RS03150	NC_005956.1__AYT27_RS03150	100.0	172.0	1.0	172.0	1.0	172.0	2.29e-127	347.0	172.0	172.0
NC_005956.1__AYT27_RS03150	NC_012846.1__BGR_RS03320	94.767	172.0	1.0	172.0	1.0	172.0	1.66e-121	332.0	172.0	172.0
NC_005956.1__AYT27_RS03150	NC_005955.1__BQ_RS03545	94.186	172.0	1.0	172.0	1.0	172.0	3.83e-121	331.0	172.0	172.0
NC_005956.1__AYT27_RS03150	NC_008783.1__BARBAKC583_RS02740	85.465	172.0	1.0	172.0	1.0	172.0	1.78e-110	304.0	172.0	172.0
NC_005956.1__AYT27_RS03155	NC_005956.1__AYT27_RS03155	100.0	123.0	1.0	123.0	1.0	123.0	8.24e-53	154.0	123.0	123.0
NC_005956.1__AYT27_RS03155	NC_012846.1__BGR_RS03325	96.748	123.0	1.0	123.0	1.0	123.0	8.02e-51	149.0	123.0	123.0
NC_005956.1__AYT27_RS03155	NC_008783.1__BARBAKC583_RS02745	93.496	123.0	1.0	123.0	1.0	123.0	1.48e-50	149.0	123.0	123.0
NC_005956.1__AYT27_RS03155	NC_005955.1__BQ_RS03540	95.122	123.0	1.0	123.0	1.0	123.0	1.93e-50	148.0	123.0	123.0
NC_005956.1__AYT27_RS03160	NC_005956.1__AYT27_RS03160	100.0	1383.0	1.0	1383.0	1.0	1383.0	0.0	2737.0	1383.0	1383.0
NC_005956.1__AYT27_RS03160	NC_005955.1__BQ_RS03535	97.397	1383.0	1.0	1383.0	1.0	1383.0	0.0	2681.0	1383.0	1383.0
NC_005956.1__AYT27_RS03160	NC_012846.1__BGR_RS03330	96.454	1382.0	1.0	1382.0	1.0	1382.0	0.0	2664.0	1383.0	1382.0
NC_005956.1__AYT27_RS03160	NC_008783.1__BARBAKC583_RS02750	92.408	1383.0	1.0	1383.0	1.0	1383.0	0.0	2568.0	1383.0	1383.0
NC_005956.1__AYT27_RS03165	NC_005956.1__AYT27_RS03165	100.0	1402.0	1.0	1402.0	1.0	1402.0	0.0	2853.0	1402.0	1402.0
NC_005956.1__AYT27_RS03165	NC_005955.1__BQ_RS03530	97.86	1402.0	1.0	1402.0	1.0	1402.0	0.0	2802.0	1402.0	1402.0
NC_005956.1__AYT27_RS03165	NC_012846.1__BGR_RS03335	96.864	1403.0	1.0	1402.0	1.0	1403.0	0.0	2767.0	1402.0	1403.0
NC_005956.1__AYT27_RS03165	NC_008783.1__BARBAKC583_RS02755	93.656	1403.0	1.0	1402.0	1.0	1403.0	0.0	2697.0	1402.0	1403.0
NC_005956.1__AYT27_RS03170	NC_005956.1__AYT27_RS03170	100.0	128.0	1.0	128.0	1.0	128.0	1.63e-95	263.0	128.0	128.0
NC_005956.1__AYT27_RS03170	NC_012846.1__BGR_RS03340	83.465	127.0	1.0	127.0	1.0	127.0	2.05e-78	219.0	128.0	128.0
NC_005956.1__AYT27_RS03175	NC_005956.1__AYT27_RS03175	100.0	229.0	1.0	229.0	1.0	229.0	4.48e-178	479.0	229.0	229.0
NC_005956.1__AYT27_RS03175	NC_005955.1__BQ_RS03525	91.63	227.0	1.0	227.0	1.0	227.0	1.23e-164	446.0	229.0	229.0
NC_005956.1__AYT27_RS03175	NC_012846.1__BGR_RS03345	86.9	229.0	1.0	229.0	1.0	229.0	5.19e-160	434.0	229.0	229.0
NC_005956.1__AYT27_RS03175	NC_008783.1__BARBAKC583_RS02760	78.855	227.0	1.0	227.0	1.0	227.0	3.71e-143	391.0	229.0	228.0
NC_005956.1__AYT27_RS03180	NC_005956.1__AYT27_RS03180	100.0	465.0	1.0	465.0	1.0	465.0	0.0	931.0	465.0	465.0
NC_005956.1__AYT27_RS03180	NC_005955.1__BQ_RS03520	87.312	465.0	1.0	465.0	1.0	465.0	0.0	815.0	465.0	465.0
NC_005956.1__AYT27_RS03180	NC_012846.1__BGR_RS03350	86.452	465.0	1.0	465.0	1.0	463.0	0.0	796.0	465.0	463.0
NC_005956.1__AYT27_RS03180	NC_008783.1__BARBAKC583_RS07185	72.727	44.0	99.0	142.0	2.0	45.0	3.94e-21	78.6	465.0	60.0
NC_005955.1__BQ_RS03515	NC_005955.1__BQ_RS03515	100.0	92.0	1.0	92.0	1.0	92.0	1.72e-54	156.0	92.0	92.0
NC_005955.1__BQ_RS03520	NC_005955.1__BQ_RS03520	100.0	465.0	1.0	465.0	1.0	465.0	0.0	917.0	465.0	465.0
NC_005955.1__BQ_RS03520	NC_005956.1__AYT27_RS03180	87.312	465.0	1.0	465.0	1.0	465.0	0.0	803.0	465.0	465.0
NC_005955.1__BQ_RS03520	NC_012846.1__BGR_RS03350	89.247	465.0	1.0	465.0	1.0	463.0	0.0	802.0	465.0	463.0
NC_005955.1__BQ_RS03520	NC_008783.1__BARBAKC583_RS07185	75.0	44.0	99.0	142.0	2.0	45.0	2.19e-21	79.0	465.0	60.0
NC_005955.1__BQ_RS03525	NC_005955.1__BQ_RS03525	100.0	229.0	1.0	229.0	1.0	229.0	2.25e-177	478.0	229.0	229.0
NC_005955.1__BQ_RS03525	NC_005956.1__AYT27_RS03175	91.63	227.0	1.0	227.0	1.0	227.0	1.23e-164	446.0	229.0	229.0
NC_005955.1__BQ_RS03525	NC_012846.1__BGR_RS03345	88.106	227.0	1.0	227.0	1.0	227.0	4.66e-158	429.0	229.0	229.0
NC_005955.1__BQ_RS03525	NC_008783.1__BARBAKC583_RS02760	80.702	228.0	1.0	228.0	1.0	228.0	2.05e-147	402.0	229.0	228.0
NC_005955.1__BQ_RS03530	NC_005955.1__BQ_RS03530	100.0	1402.0	1.0	1402.0	1.0	1402.0	0.0	2822.0	1402.0	1402.0
NC_005955.1__BQ_RS03530	NC_005956.1__AYT27_RS03165	97.86	1402.0	1.0	1402.0	1.0	1402.0	0.0	2770.0	1402.0	1402.0
NC_005955.1__BQ_RS03530	NC_012846.1__BGR_RS03335	96.65	1403.0	1.0	1402.0	1.0	1403.0	0.0	2729.0	1402.0	1403.0
NC_005955.1__BQ_RS03530	NC_008783.1__BARBAKC583_RS02755	93.514	1403.0	1.0	1402.0	1.0	1403.0	0.0	2660.0	1402.0	1403.0
NC_005955.1__BQ_RS03535	NC_005955.1__BQ_RS03535	100.0	1383.0	1.0	1383.0	1.0	1383.0	0.0	2740.0	1383.0	1383.0
NC_005955.1__BQ_RS03535	NC_005956.1__AYT27_RS03160	97.397	1383.0	1.0	1383.0	1.0	1383.0	0.0	2683.0	1383.0	1383.0
NC_005955.1__BQ_RS03535	NC_012846.1__BGR_RS03330	95.876	1382.0	1.0	1382.0	1.0	1382.0	0.0	2652.0	1383.0	1382.0
NC_005955.1__BQ_RS03535	NC_008783.1__BARBAKC583_RS02750	91.974	1383.0	1.0	1383.0	1.0	1383.0	0.0	2560.0	1383.0	1383.0
NC_005955.1__BQ_RS03540	NC_005955.1__BQ_RS03540	100.0	123.0	1.0	123.0	1.0	123.0	9.07e-52	152.0	123.0	123.0
NC_005955.1__BQ_RS03540	NC_005956.1__AYT27_RS03155	95.122	123.0	1.0	123.0	1.0	123.0	1.98e-48	143.0	123.0	123.0
NC_005955.1__BQ_RS03540	NC_008783.1__BARBAKC583_RS02745	91.87	123.0	1.0	123.0	1.0	123.0	2.01e-47	140.0	123.0	123.0
NC_005955.1__BQ_RS03540	NC_012846.1__BGR_RS03325	95.122	123.0	1.0	123.0	1.0	123.0	6.86e-47	139.0	123.0	123.0
NC_005955.1__BQ_RS03545	NC_005955.1__BQ_RS03545	100.0	172.0	1.0	172.0	1.0	172.0	1.72e-127	347.0	172.0	172.0
NC_005955.1__BQ_RS03545	NC_005956.1__AYT27_RS03150	94.186	172.0	1.0	172.0	1.0	172.0	3.83e-121	331.0	172.0	172.0
NC_005955.1__BQ_RS03545	NC_012846.1__BGR_RS03320	95.349	172.0	1.0	172.0	1.0	172.0	7.65e-121	330.0	172.0	172.0
NC_005955.1__BQ_RS03545	NC_008783.1__BARBAKC583_RS02740	86.047	172.0	1.0	172.0	1.0	172.0	9.45e-110	302.0	172.0	172.0
NC_005955.1__BQ_RS03550	NC_005955.1__BQ_RS03550	100.0	232.0	1.0	232.0	1.0	232.0	1.9e-164	446.0	232.0	232.0
NC_005955.1__BQ_RS03550	NC_005956.1__AYT27_RS03145	93.966	232.0	1.0	232.0	1.0	232.0	1.82e-154	420.0	232.0	232.0
NC_005955.1__BQ_RS03550	NC_012846.1__BGR_RS03315	94.397	232.0	1.0	232.0	1.0	232.0	7.21e-152	414.0	232.0	234.0
NC_005955.1__BQ_RS03550	NC_008783.1__BARBAKC583_RS02735	84.483	232.0	1.0	232.0	1.0	232.0	1.61e-138	380.0	232.0	232.0
NC_005955.1__BQ_RS03555	NC_005955.1__BQ_RS03555	100.0	142.0	1.0	142.0	1.0	142.0	1.53e-104	286.0	142.0	142.0
NC_005955.1__BQ_RS03555	NC_005956.1__AYT27_RS03140	97.887	142.0	1.0	142.0	1.0	142.0	2.17e-102	281.0	142.0	142.0
NC_005955.1__BQ_RS03555	NC_012846.1__BGR_RS03310	95.775	142.0	1.0	142.0	1.0	142.0	2.17e-101	279.0	142.0	142.0
NC_005955.1__BQ_RS03555	NC_008783.1__BARBAKC583_RS02730	93.662	142.0	1.0	142.0	1.0	142.0	6.76e-98	270.0	142.0	142.0
