qseqid	sseqid	pident	length	qstart	qend	sstart	send	evalue	bitscore	qlen	slen
CP009862.1__ECONIH1_27525	CP008901.1__ECNIH3_24085	100.0	402.0	1.0	402.0	1.0	402.0	0.0	801.0	402.0	402.0
CP009862.1__ECONIH1_27525	CP009864.1__KPNIH29_26455	100.0	402.0	1.0	402.0	1.0	402.0	0.0	801.0	402.0	402.0
CP009862.1__ECONIH1_27525	CP009862.1__ECONIH1_27525	100.0	402.0	1.0	402.0	1.0	402.0	0.0	801.0	402.0	402.0
CP009862.1__ECONIH1_27530	CP008901.1__ECNIH3_24090	100.0	477.0	1.0	477.0	1.0	477.0	0.0	990.0	477.0	477.0
CP009862.1__ECONIH1_27530	CP009864.1__KPNIH29_26460	100.0	477.0	1.0	477.0	1.0	477.0	0.0	990.0	477.0	477.0
CP009862.1__ECONIH1_27530	CP009862.1__ECONIH1_27530	100.0	477.0	1.0	477.0	1.0	477.0	0.0	990.0	477.0	477.0
CP009862.1__ECONIH1_27535	CP008901.1__ECNIH3_24095	100.0	88.0	1.0	88.0	1.0	88.0	2.17e-64	180.0	88.0	88.0
CP009862.1__ECONIH1_27535	CP009864.1__KPNIH29_26465	100.0	88.0	1.0	88.0	1.0	88.0	2.17e-64	180.0	88.0	88.0
CP009862.1__ECONIH1_27535	CP009862.1__ECONIH1_27535	100.0	88.0	1.0	88.0	1.0	88.0	2.17e-64	180.0	88.0	88.0
CP009862.1__ECONIH1_27540	CP009862.1__ECONIH1_27540	100.0	68.0	1.0	68.0	1.0	68.0	2.71e-49	140.0	68.0	68.0
CP009862.1__ECONIH1_27545	CP008901.1__ECNIH3_24100	100.0	213.0	1.0	213.0	1.0	213.0	9.09e-125	343.0	213.0	213.0
CP009862.1__ECONIH1_27545	CP009864.1__KPNIH29_26470	100.0	213.0	1.0	213.0	1.0	213.0	9.09e-125	343.0	213.0	213.0
CP009862.1__ECONIH1_27545	CP009862.1__ECONIH1_27545	100.0	213.0	1.0	213.0	1.0	213.0	9.09e-125	343.0	213.0	213.0
CP009862.1__ECONIH1_27550	CP008901.1__ECNIH3_24105	100.0	103.0	1.0	103.0	1.0	103.0	1.59e-73	204.0	103.0	103.0
CP009862.1__ECONIH1_27550	CP009864.1__KPNIH29_26475	100.0	103.0	1.0	103.0	1.0	103.0	1.59e-73	204.0	103.0	103.0
CP009862.1__ECONIH1_27550	CP009862.1__ECONIH1_27550	100.0	103.0	1.0	103.0	1.0	103.0	1.59e-73	204.0	103.0	103.0
CP009864.1__KPNIH29_26425	CP008901.1__ECNIH3_24060	100.0	189.0	1.0	189.0	1.0	189.0	1.08e-127	348.0	189.0	189.0
CP009864.1__KPNIH29_26425	CP009864.1__KPNIH29_26425	100.0	189.0	1.0	189.0	1.0	189.0	1.08e-127	348.0	189.0	189.0
CP009864.1__KPNIH29_26425	CP009862.1__ECONIH1_27495	100.0	189.0	1.0	189.0	1.0	189.0	1.08e-127	348.0	189.0	189.0
CP009864.1__KPNIH29_26430	CP009864.1__KPNIH29_26430	100.0	59.0	1.0	59.0	1.0	59.0	4.98e-41	119.0	59.0	59.0
CP009864.1__KPNIH29_26430	CP009862.1__ECONIH1_27500	100.0	59.0	1.0	59.0	1.0	59.0	4.98e-41	119.0	59.0	59.0
CP009864.1__KPNIH29_26435	CP008901.1__ECNIH3_24065	100.0	337.0	1.0	337.0	1.0	337.0	0.0	650.0	337.0	337.0
CP009864.1__KPNIH29_26435	CP009864.1__KPNIH29_26435	100.0	337.0	1.0	337.0	1.0	337.0	0.0	650.0	337.0	337.0
CP009864.1__KPNIH29_26435	CP009862.1__ECONIH1_27505	100.0	337.0	1.0	337.0	1.0	337.0	0.0	650.0	337.0	337.0
CP009864.1__KPNIH29_26440	CP008901.1__ECNIH3_24070	100.0	157.0	1.0	157.0	1.0	157.0	1.67e-121	330.0	157.0	157.0
CP009864.1__KPNIH29_26440	CP009864.1__KPNIH29_26440	100.0	157.0	1.0	157.0	1.0	157.0	1.67e-121	330.0	157.0	157.0
CP009864.1__KPNIH29_26440	CP009862.1__ECONIH1_27510	100.0	157.0	1.0	157.0	1.0	157.0	1.67e-121	330.0	157.0	157.0
CP009864.1__KPNIH29_26445	CP008901.1__ECNIH3_24075	100.0	88.0	1.0	88.0	1.0	88.0	7.68e-66	184.0	88.0	88.0
CP009864.1__KPNIH29_26445	CP009864.1__KPNIH29_26445	100.0	88.0	1.0	88.0	1.0	88.0	7.68e-66	184.0	88.0	88.0
CP009864.1__KPNIH29_26445	CP009862.1__ECONIH1_27515	100.0	88.0	1.0	88.0	1.0	88.0	7.68e-66	184.0	88.0	88.0
CP009864.1__KPNIH29_26450	CP008901.1__ECNIH3_24080	100.0	254.0	1.0	254.0	1.0	254.0	0.0	525.0	254.0	254.0
CP009864.1__KPNIH29_26450	CP009864.1__KPNIH29_26450	100.0	254.0	1.0	254.0	1.0	254.0	0.0	525.0	254.0	254.0
CP009864.1__KPNIH29_26450	CP009862.1__ECONIH1_27520	100.0	254.0	1.0	254.0	1.0	254.0	0.0	525.0	254.0	254.0
CP009864.1__KPNIH29_26455	CP008901.1__ECNIH3_24085	100.0	402.0	1.0	402.0	1.0	402.0	0.0	801.0	402.0	402.0
CP009864.1__KPNIH29_26455	CP009864.1__KPNIH29_26455	100.0	402.0	1.0	402.0	1.0	402.0	0.0	801.0	402.0	402.0
CP009864.1__KPNIH29_26455	CP009862.1__ECONIH1_27525	100.0	402.0	1.0	402.0	1.0	402.0	0.0	801.0	402.0	402.0
CP009864.1__KPNIH29_26460	CP008901.1__ECNIH3_24090	100.0	477.0	1.0	477.0	1.0	477.0	0.0	990.0	477.0	477.0
CP009864.1__KPNIH29_26460	CP009864.1__KPNIH29_26460	100.0	477.0	1.0	477.0	1.0	477.0	0.0	990.0	477.0	477.0
CP009864.1__KPNIH29_26460	CP009862.1__ECONIH1_27530	100.0	477.0	1.0	477.0	1.0	477.0	0.0	990.0	477.0	477.0
CP009864.1__KPNIH29_26465	CP008901.1__ECNIH3_24095	100.0	88.0	1.0	88.0	1.0	88.0	2.17e-64	180.0	88.0	88.0
CP009864.1__KPNIH29_26465	CP009864.1__KPNIH29_26465	100.0	88.0	1.0	88.0	1.0	88.0	2.17e-64	180.0	88.0	88.0
CP009864.1__KPNIH29_26465	CP009862.1__ECONIH1_27535	100.0	88.0	1.0	88.0	1.0	88.0	2.17e-64	180.0	88.0	88.0
CP009864.1__KPNIH29_26470	CP008901.1__ECNIH3_24100	100.0	213.0	1.0	213.0	1.0	213.0	9.09e-125	343.0	213.0	213.0
CP009864.1__KPNIH29_26470	CP009864.1__KPNIH29_26470	100.0	213.0	1.0	213.0	1.0	213.0	9.09e-125	343.0	213.0	213.0
CP009864.1__KPNIH29_26470	CP009862.1__ECONIH1_27545	100.0	213.0	1.0	213.0	1.0	213.0	9.09e-125	343.0	213.0	213.0
CP009864.1__KPNIH29_26475	CP008901.1__ECNIH3_24105	100.0	103.0	1.0	103.0	1.0	103.0	1.59e-73	204.0	103.0	103.0
CP009864.1__KPNIH29_26475	CP009864.1__KPNIH29_26475	100.0	103.0	1.0	103.0	1.0	103.0	1.59e-73	204.0	103.0	103.0
CP009864.1__KPNIH29_26475	CP009862.1__ECONIH1_27550	100.0	103.0	1.0	103.0	1.0	103.0	1.59e-73	204.0	103.0	103.0
CP008901.1__ECNIH3_24060	CP008901.1__ECNIH3_24060	100.0	189.0	1.0	189.0	1.0	189.0	1.08e-127	348.0	189.0	189.0
CP008901.1__ECNIH3_24060	CP009864.1__KPNIH29_26425	100.0	189.0	1.0	189.0	1.0	189.0	1.08e-127	348.0	189.0	189.0
CP008901.1__ECNIH3_24060	CP009862.1__ECONIH1_27495	100.0	189.0	1.0	189.0	1.0	189.0	1.08e-127	348.0	189.0	189.0
CP008901.1__ECNIH3_24065	CP008901.1__ECNIH3_24065	100.0	337.0	1.0	337.0	1.0	337.0	0.0	650.0	337.0	337.0
CP008901.1__ECNIH3_24065	CP009864.1__KPNIH29_26435	100.0	337.0	1.0	337.0	1.0	337.0	0.0	650.0	337.0	337.0
CP008901.1__ECNIH3_24065	CP009862.1__ECONIH1_27505	100.0	337.0	1.0	337.0	1.0	337.0	0.0	650.0	337.0	337.0
CP008901.1__ECNIH3_24070	CP008901.1__ECNIH3_24070	100.0	157.0	1.0	157.0	1.0	157.0	1.67e-121	330.0	157.0	157.0
CP008901.1__ECNIH3_24070	CP009864.1__KPNIH29_26440	100.0	157.0	1.0	157.0	1.0	157.0	1.67e-121	330.0	157.0	157.0
CP008901.1__ECNIH3_24070	CP009862.1__ECONIH1_27510	100.0	157.0	1.0	157.0	1.0	157.0	1.67e-121	330.0	157.0	157.0
CP008901.1__ECNIH3_24075	CP008901.1__ECNIH3_24075	100.0	88.0	1.0	88.0	1.0	88.0	7.68e-66	184.0	88.0	88.0
CP008901.1__ECNIH3_24075	CP009864.1__KPNIH29_26445	100.0	88.0	1.0	88.0	1.0	88.0	7.68e-66	184.0	88.0	88.0
CP008901.1__ECNIH3_24075	CP009862.1__ECONIH1_27515	100.0	88.0	1.0	88.0	1.0	88.0	7.68e-66	184.0	88.0	88.0
CP008901.1__ECNIH3_24080	CP008901.1__ECNIH3_24080	100.0	254.0	1.0	254.0	1.0	254.0	0.0	525.0	254.0	254.0
CP008901.1__ECNIH3_24080	CP009864.1__KPNIH29_26450	100.0	254.0	1.0	254.0	1.0	254.0	0.0	525.0	254.0	254.0
CP008901.1__ECNIH3_24080	CP009862.1__ECONIH1_27520	100.0	254.0	1.0	254.0	1.0	254.0	0.0	525.0	254.0	254.0
CP008901.1__ECNIH3_24085	CP008901.1__ECNIH3_24085	100.0	402.0	1.0	402.0	1.0	402.0	0.0	801.0	402.0	402.0
CP008901.1__ECNIH3_24085	CP009864.1__KPNIH29_26455	100.0	402.0	1.0	402.0	1.0	402.0	0.0	801.0	402.0	402.0
CP008901.1__ECNIH3_24085	CP009862.1__ECONIH1_27525	100.0	402.0	1.0	402.0	1.0	402.0	0.0	801.0	402.0	402.0
CP008901.1__ECNIH3_24090	CP008901.1__ECNIH3_24090	100.0	477.0	1.0	477.0	1.0	477.0	0.0	990.0	477.0	477.0
CP008901.1__ECNIH3_24090	CP009864.1__KPNIH29_26460	100.0	477.0	1.0	477.0	1.0	477.0	0.0	990.0	477.0	477.0
CP008901.1__ECNIH3_24090	CP009862.1__ECONIH1_27530	100.0	477.0	1.0	477.0	1.0	477.0	0.0	990.0	477.0	477.0
CP008901.1__ECNIH3_24095	CP008901.1__ECNIH3_24095	100.0	88.0	1.0	88.0	1.0	88.0	2.17e-64	180.0	88.0	88.0
CP008901.1__ECNIH3_24095	CP009864.1__KPNIH29_26465	100.0	88.0	1.0	88.0	1.0	88.0	2.17e-64	180.0	88.0	88.0
CP008901.1__ECNIH3_24095	CP009862.1__ECONIH1_27535	100.0	88.0	1.0	88.0	1.0	88.0	2.17e-64	180.0	88.0	88.0
CP008901.1__ECNIH3_24100	CP008901.1__ECNIH3_24100	100.0	213.0	1.0	213.0	1.0	213.0	9.09e-125	343.0	213.0	213.0
CP008901.1__ECNIH3_24100	CP009864.1__KPNIH29_26470	100.0	213.0	1.0	213.0	1.0	213.0	9.09e-125	343.0	213.0	213.0
CP008901.1__ECNIH3_24100	CP009862.1__ECONIH1_27545	100.0	213.0	1.0	213.0	1.0	213.0	9.09e-125	343.0	213.0	213.0
CP008901.1__ECNIH3_24105	CP008901.1__ECNIH3_24105	100.0	103.0	1.0	103.0	1.0	103.0	1.59e-73	204.0	103.0	103.0
CP008901.1__ECNIH3_24105	CP009864.1__KPNIH29_26475	100.0	103.0	1.0	103.0	1.0	103.0	1.59e-73	204.0	103.0	103.0
CP008901.1__ECNIH3_24105	CP009862.1__ECONIH1_27550	100.0	103.0	1.0	103.0	1.0	103.0	1.59e-73	204.0	103.0	103.0
